# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
abandon|[əˈbændən] v. 放弃；抛弃 n. 放纵|Those who abandon themselves to despair can not succeed.|那些自暴自弃的人无法成功。
abnormal|[æbˈnɔːml] adj. 反常的；不正常的 n. 不正常的人|We were very surprised at his abnormal behavior.|我们对他的反常行为感到非常吃惊。
aboard|[əˈbɔːd] adv. 在船上；在火车上 prep. 上船；上飞机|Little Tom and the sailors spent two months aboard.|小汤姆和水手们在船上过了两个月。
above|[əˈbʌv] prep. 超过；在 ... 上面 adj. 上面的；以上的 adv. 在上面；超过 n. 上面的东西|The glider was soaring above the valley.|那架滑翔机在山谷上空滑翔。
abroad|[əˈbrɔːd] adv. 到国外；广为流传 adj. 在国外；海外(一般作表语)|He is travelling abroad.|他要到国外旅行。
absence|[ˈæbsəns] n. 缺席；缺乏|His long absence raised fears about his safety.|他长期不在引起了大家对他的安全的担心。
absent|[ˈæbsənt] adj. 缺席的；不在的 vt. 使缺席|Professor Li is absent, I will take the lesson in the place of him.|李教授不在，我替他上课。
absolute|[ˈæbsəluːt] adj. 绝对的；确实的 n. 绝对的事物|There is no absolute standard for beauty.|美是没有绝对的标准的。
absolutely|[ˈæbsəluːtli] adv. 完全地；绝对地 int. （表示赞同）完全正确，一点没错|I trust his discretion absolutely.|我完全相信他的判断。
absorb|[əbˈsɔːb] vt. 吸收；吸引 ... 的注意|Dry sand absorbs water.|干沙吸收水份。
abstract|[ˈæbstrækt] adj. 抽象的；理论的 n. 摘要；抽象派艺术作品 v. (/æbˈstrækt/)把…抽象出；提取|We may talk of beautiful things, but beauty itself is abstract.|我们尽可谈论美的事物，然而美本身却是抽象的。
abundant|[əˈbʌndənt] adj. 丰富的；充裕的|Indonesia is abundant in petroleum deposits.|印尼的石油蕴藏量丰富。
abuse|[əˈbjuːs] n. 滥用；恶习 vt. 滥用；辱骂|The government has set up a working party to look into the problem of drug abuse.|政府已成立工作组调查滥用毒品问题。
academic|[ˌækəˈdemɪk] adj. 学院的；学术的 n. 大学教师，大学生；学者，学究|Sir Lawrence Alma-Tadema was an English painter in the academic tradition.|阿尔玛·台德玛是学院派的英国画家。
academy|[əˈkædəmi] n. 学院；学会|He is a student in an academy of music.|他是一所音乐学院的学生。
accelerate|[əkˈseləreɪt] v. 加速；提前|Our present task is to accelerate economic growth.|加速经济发展是我们当前的任务。
accent|[ˈæksent] n. 重音；口音 vt. 重读；强调|The accent falls on the third syllable.|重音落在第三个音节上。
accept|[əkˈsept] vt. 接受；同意 vi. 接受|We gave him a present,but he did not accept it.|我们给他一件礼物,但他不肯接受。
acceptable|[əkˈseptəbl] adj. 合意的；受欢迎的|If these terms are not acceptable to you, we may suggest others.|如果你对这些条件不合意，我们可提出别的条件。
acceptance|[əkˈseptəns] n. 认可；同意|The proposal met with general acceptance.|这个建议得到普遍的认可。
access|[ˈækses] n. 入口；通道 n. 接近(的机会)；使用之权 vt. 进入；(电脑)存取|This is the only means of access to the building.|这是进入这栋楼的唯一入口。
accessory|[əkˈsesəri] n. 附件；配件 adj. 辅助的；附属的|He asked me to buy him some accessories for a car.|他让我给他买些汽车附件。
accidental|[ˌæksɪˈdentl] adj. 意外的；偶然的 n. 偶然；不重要的东西|Banging may also be accidental and painful.|这种撞击也可以是意外的及产生痛苦的。
accommodate|[əˈkɒmədeɪt] vt. 供给住宿；使适应 vi. 适应；调节|This hotel can accommodate up to 500 guests.|这旅馆可供500位来宾住宿。
accommodation|[əˌkɒməˈdeɪʃn] n. 膳宿；和解|There travelling students found accommodation at moderate terms.|旅游的学生们感到那儿的膳宿费是公道的。
accompany|[əˈkʌmpəni] vt. 陪伴；伴随...发生 vi. 伴奏|She asked me to accompany her to the airport.|她要求我陪她到机场去。
accomplish|[əˈkʌmplɪʃ] vt. 完成；实现|I have accomplished a great deal in the last few months.|在过去几个月里，我完成了相当多的工作。
accord|[əˈkɔːd] n. 协议；一致 v. 与...一致；给予|The two countries reached an accord.|两国签订了一项协议。
accordance|[əˈkɔːdns] n. 一致；符合|He acted in accordance with his beliefs.|他按照自己的信念行事。
accordingly|[əˈkɔːdɪŋli] adv. 因此；相应地|He was asked to leave the city and accordingly he went.|有人叫他离开该城市，所以他就走了。
account|[əˈkaʊnt] n. 账户；帐目 v. 解释；导致|She squared her account at the store.|她在商店里结清帐目。
accumulate|[əˈkjuːmjəleɪt] v. 积累；增加|They set out to accumulate a huge mass of data.|他们开始积累大量的资料。
accuracy|[ˈækjərəsi] n. 准确(性)；精确度|He's a man of accuracy and strict method.|他是个精细而严谨的人。
accurate|[ˈækjərət] adj. 准确的；精确的|The manager impressed on his office staff the importance of keeping accurate records.|经理让办公室职员认识到做精确记录的重要性。
accuse|[əˈkjuːz] v. 谴责；控告|How dare you accuse me of lying!|你怎敢谴责我说谎!
accustom|[əˈkʌstəm] vt. 使习惯|He soon gets accustom to dormitory life and make two or three friend.|他不久就逐渐习惯了宿舍的生活并交了两三个朋友。
accustomed|[əˈkʌstəmd] adj. 习惯了的；通常的|He was accustomed to command, not to entreat.|他习惯于发号施令，而不是恳求他人。
ache|[eɪk] n. 痛；隐痛 vi. 渴望；痛|There was a little ache in her fancy of all he described.|她想象着他所描绘的一切，心里不禁有些刺痛。
achievement|[əˈtʃiːvmənt] n. 成就；成绩|Effort and achievement are always in full accord.|努力和成就总是相辅相承的。
acid|[ˈæsɪd] n. 酸；酸性物质 adj. 酸的；酸性的|Acids react with bases to form salts.|酸与碱反应生成盐。
acquaintance|[əˈkweɪntəns] n. 熟人；相识|He is not a friend of mine, only an acquaintance.|他不是朋友我的,只是个熟人。
acquire|[əˈkwaɪə(r)] vt. 获得；学到|We should try to acquire good habits.|我们应该努力养成良好的习惯。
acre|[ˈeɪkə(r)] n. 英亩|The shepherd has penned up the sheep in the four acre field.|牧羊人把羊群围在那块四英亩的土地上。
across|[əˈkrɒs] adv. 横过；穿过 prep. 横过；穿过|Can you swim across the river?|你能游到河的对岸吗？
act|[ækt] n. 行为；行动 v. 行动；举止|It is an act of kindness to help a blind man across the street.|帮助盲人过街是慈善的行为。
action|[ˈækʃn] n. 行为；活动|After the security incident, you should create an action report that includes three simple goals.|这次安全事故后,你要撰写一个包括三个简单目标的活动报告。
active|[ˈæktɪv] adj. 活跃的；积极的|Ms. Brown is active in the party.|布朗女士在晚会上很活跃。
actor|[ˈæktə(r)] n. 演员；行动者|The young actor pretended to be Hamlet.|那个年轻演员扮演哈姆雷特。
actress|[ˈæktrəs] n. 女演员|The actress received numerous floral tributes.|那位女演员接受了许多献花。
actually|[ˈæktʃuəli] adv. 实际上；事实上|He seems to be doing nothing, but actually he is just biding his time.|他看上去无所事事，其实却在等待良机。
acute|[əˈkjuːt] adj. 严重的；敏锐的|He suffers from acute depression.|他患有严重的抑郁症。
adapt|[əˈdæpt] vt. 改编；使适应 vi. 适应；适合|This novel has been adapted for radio from the Russian original.|这部小说已由俄文原著改编成无线电广播节目。
add|[æd] v. 加；增加|If you add 4 to 5, you get 9.|四加五等于九。
